project_name,class_name,wmc,cbo,dit,lcom,rfc,noc,numberOfLinesOfCode,numberOfMethods,numberOfVersionsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,defective
lucene,org::apache::lucene::benchmark::byTask::tasks::NewRoundTask,3.0,3,2,3,6.0,0,10.0,3.0,3,2,45.0,43.0,15.0,45.0,43.0,15.0,0.0,0.0,0.0,90.5714,10.9968,0
lucene,org::apache::lucene::benchmark::byTask::stats::Points,6.0,11,1,15,12.0,0,23.0,6.0,3,2,92.0,85.0,30.6667,344.0,258.0,114.667,-252.0,0.0,-84.0,90.5714,11.0512,0
lucene,org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter,15.0,5,2,36,24.0,2,63.0,9.0,2,2,16.0,15.0,8.0,44.0,43.0,22.0,-28.0,0.0,-14.0,14.0,6.5625,0
lucene,org::apache::lucene::queryParser::Token,4.0,0,1,6,5.0,0,13.0,4.0,2,2,56.0,55.0,28.0,13.0,12.0,6.5,43.0,43.0,21.5,264.857,257.041,0
lucene,org::apache::lucene::store::Lock,8.0,13,1,3,12.0,9,29.0,3.0,20,8,184.0,50.0,9.2,165.0,51.0,8.25,19.0,25.0,0.95,366.857,165.044,1
lucene,org::apache::lucene::index::FreqProxTermsWriter,43.0,14,2,45,53.0,0,229.0,10.0,2,1,61.0,60.0,30.5,41.0,40.0,20.5,20.0,20.0,10.0,11.7143,2.52927,0
lucene,org::apache::lucene::analysis::compound::hyphenation::Hyphen,6.0,2,1,1,7.0,0,19.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.7143,0.0,0
lucene,org::apache::lucene::index::InvertedDocConsumerPerThread,0.0,2,1,6,4.0,1,0.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::analysis::Analyzer,4.0,50,1,15,9.0,33,12.0,6.0,11,8,78.0,28.0,7.09091,88.0,51.0,8.0,-10.0,27.0,-0.909091,368.143,237.31,1
lucene,org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder,10.0,12,1,1,29.0,0,58.0,2.0,6,3,64.0,38.0,10.6667,10.0,5.0,1.66667,54.0,38.0,9.0,136.571,36.9531,0
lucene,org::apache::lucene::xmlparser::builders::RangeFilterBuilder,1.0,3,1,1,6.0,0,10.0,2.0,3,2,18.0,16.0,6.0,5.0,3.0,1.66667,13.0,15.0,4.33333,136.571,49.9444,0
lucene,org::tartarus::snowball::ext::LovinsStemmer,262.0,1,2,561,137.0,0,1501.0,34.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::util::UnicodeUtil,20.0,8,1,1,7.0,0,115.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,0.0,0
lucene,org::apache::lucene::document::NumberTools,10.0,6,1,1,19.0,0,51.0,2.0,5,5,13.0,6.0,2.6,12.0,5.0,2.4,1.0,1.0,0.2,202.143,59.011,0
lucene,org::apache::lucene::search::ExactPhraseScorer,7.0,5,4,1,9.0,0,28.0,2.0,10,7,39.0,13.0,3.9,75.0,51.0,7.5,-36.0,3.0,-3.6,368.143,182.044,0
lucene,org::apache::lucene::store::FSDirectory,2.0,1,2,1,2.0,3,6.0,2.0,81,10,1262.0,128.0,15.5802,890.0,108.0,10.9877,372.0,51.0,4.59259,368.143,204.577,1
lucene,org::apache::lucene::ant::TextDocument,4.0,6,1,3,19.0,0,31.0,3.0,2,1,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,325.857,39.7857,0
lucene,org::apache::lucene::xmlparser::builders::SpanNotBuilder,2.0,5,3,1,8.0,0,19.0,2.0,3,1,25.0,16.0,8.33333,22.0,20.0,7.33333,3.0,15.0,1.0,136.571,30.8114,0
lucene,org::apache::lucene::store::instantiated::InstantiatedIndexReader,64.0,16,2,276,123.0,0,174.0,24.0,4,2,122.0,119.0,30.5,60.0,57.0,15.0,62.0,62.0,15.5,29.8571,15.2482,1
lucene,org::tartarus::snowball::ext::PortugueseStemmer,155.0,1,2,66,92.0,0,866.0,12.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::util::CloseableThreadLocal,8.0,5,1,6,18.0,1,43.0,4.0,2,1,15.0,14.0,7.5,6.0,5.0,3.0,9.0,9.0,4.5,3.42857,0.266667,0
lucene,org::apache::lucene::index::FormatPostingsTermsWriter,6.0,4,2,10,11.0,0,30.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lucene,org::apache::lucene::index::MergeScheduler,0.0,1,1,1,2.0,3,0.0,2.0,4,1,10.0,5.0,2.5,7.0,3.0,1.75,3.0,3.0,0.75,55.1429,12.7143,0
lucene,org::apache::lucene::index::TermInfo,2.0,2,1,1,2.0,0,12.0,2.0,4,3,29.0,13.0,7.25,61.0,51.0,15.25,-32.0,5.0,-8.0,368.143,152.256,0
lucene,org::apache::lucene::search::ComplexExplanation,8.0,12,2,10,14.0,0,20.0,5.0,5,5,11.0,6.0,2.2,11.0,5.0,2.2,0.0,1.0,0.0,119.286,47.7403,0
lucene,org::apache::lucene::search::DocIdSetIterator,0.0,26,1,6,4.0,4,0.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35.5714,0.0,0
lucene,org::apache::lucene::store::db::DbDirectory,21.0,9,2,91,63.0,0,102.0,14.0,3,1,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,247.0,24.2381,0
lucene,org::apache::lucene::search::CheckHits,46.0,20,1,45,105.0,0,214.0,10.0,3,2,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,200.429,44.8571,0
lucene,org::apache::lucene::index::Term,16.0,74,1,45,18.0,0,37.0,10.0,14,8,73.0,13.0,5.21429,73.0,51.0,5.21429,0.0,11.0,0.0,368.143,194.02,0
lucene,org::apache::lucene::demo::SearchFiles,47.0,12,1,6,78.0,0,206.0,4.0,13,8,338.0,151.0,26.0,174.0,51.0,13.3846,164.0,111.0,12.6154,349.571,231.055,0
lucene,org::apache::lucene::demo::html::ParseException,24.0,4,1,3,28.0,0,87.0,3.0,3,2,8.0,6.0,2.66667,8.0,6.0,2.66667,0.0,0.0,0.0,264.857,220.839,0
lucene,org::apache::lucene::queryParser::surround::query::NotQuery,2.0,3,3,1,9.0,0,12.0,2.0,2,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,170.143,60.2449,0
lucene,org::tartarus::snowball::Among,2.0,2,1,0,5.0,0,18.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::search::NonMatchingScorer,6.0,2,3,15,10.0,0,10.0,6.0,2,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,193.286,80.0816,0
lucene,org::apache::lucene::index::TermVectorsTermsWriterPerThread,10.0,3,2,21,12.0,0,42.0,7.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::search::Explanation,18.0,29,1,55,32.0,1,63.0,11.0,7,5,49.0,25.0,7.0,67.0,51.0,9.57143,-18.0,18.0,-2.57143,299.286,146.085,0
lucene,org::apache::lucene::index::TermVectorsWriter,27.0,13,1,6,43.0,0,163.0,4.0,14,8,340.0,126.0,24.2857,425.0,310.0,30.3571,-85.0,52.0,-6.07143,241.714,115.235,0
lucene,org::apache::lucene::search::spans::NearSpansOrdered,50.0,6,2,91,63.0,0,166.0,14.0,3,3,42.0,35.0,14.0,16.0,10.0,5.33333,26.0,25.0,8.66667,101.714,79.1939,1
lucene,org::apache::lucene::util::BitVector,31.0,8,1,78,52.0,0,128.0,13.0,11,6,142.0,75.0,12.9091,78.0,51.0,7.09091,64.0,68.0,5.81818,368.143,248.907,0
lucene,org::apache::lucene::search::regex::RegexTermEnum,8.0,6,3,10,18.0,0,34.0,5.0,2,1,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,151.571,0.857143,0
lucene,org::apache::lucene::search::BoostingQuery,5.0,2,2,3,8.0,0,39.0,3.0,4,3,22.0,19.0,5.5,4.0,1.0,1.0,18.0,18.0,4.5,136.571,63.013,0
lucene,org::apache::lucene::analysis::ngram::NGramTokenizer,6.0,2,3,1,7.0,0,27.0,2.0,5,2,58.0,52.0,11.6,58.0,52.0,11.6,0.0,1.0,0.0,93.7143,14.9483,0
lucene,org::apache::lucene::queryParser::ParseException,24.0,8,1,3,29.0,0,90.0,3.0,4,3,8.0,6.0,2.0,12.0,6.0,3.0,-4.0,0.0,-1.0,264.857,220.839,0
lucene,org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException,0.0,6,1,0,1.0,0,0.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,80.2857,0.0,0
lucene,org::apache::lucene::demo::html::HTMLParser,179.0,15,1,496,177.0,0,574.0,32.0,14,6,125.0,34.0,8.92857,100.0,28.0,7.14286,25.0,19.0,1.78571,264.857,56.4354,0
lucene,org::apache::lucene::queryParser::surround::query::BasicQueryFactory,7.0,4,1,15,12.0,0,18.0,6.0,2,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,170.143,60.2449,0
lucene,org::apache::lucene::analysis::br::BrazilianAnalyzer,3.0,4,2,3,10.0,0,15.0,3.0,9,3,9.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,250.143,19.0794,0
lucene,org::apache::lucene::search::Similarity,7.0,29,1,78,17.0,4,22.0,13.0,28,11,694.0,250.0,24.7857,282.0,51.0,10.0714,412.0,204.0,14.7143,368.143,162.464,1
lucene,org::apache::lucene::search::highlight::SimpleFragmenter,6.0,7,1,10,6.0,0,20.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,234.714,0.0,0
lucene,org::apache::lucene::index::SegmentTermVector,15.0,3,1,28,18.0,1,50.0,8.0,6,4,34.0,26.0,5.66667,62.0,49.0,10.3333,-28.0,22.0,-4.66667,241.714,56.9538,0
lucene,org::apache::lucene::benchmark::Constants,0.0,0,1,0,0.0,0,0.0,0.0,2,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,99.0,0.0,0
lucene,org::apache::lucene::benchmark::byTask::tasks::WarmTask,6.0,0,3,15,6.0,0,18.0,6.0,4,3,69.0,60.0,17.25,62.0,60.0,15.5,7.0,4.0,1.75,90.5714,10.8944,0
lucene,org::apache::lucene::index::DefaultSkipListReader,10.0,3,2,28,17.0,0,58.0,8.0,3,1,116.0,114.0,38.6667,116.0,114.0,38.6667,0.0,0.0,0.0,70.8571,49.8498,0
lucene,org::apache::lucene::analysis::el::GreekAnalyzer,5.0,3,2,3,11.0,0,25.0,3.0,3,3,4.0,3.0,1.33333,4.0,2.0,1.33333,0.0,1.0,0.0,180.286,131.893,0
lucene,org::apache::lucene::xmlparser::builders::SpanOrBuilder,4.0,5,3,1,13.0,0,19.0,2.0,2,1,17.0,16.0,8.5,2.0,1.0,1.0,15.0,15.0,7.5,136.571,45.042,0
lucene,org::apache::lucene::search::function::CustomScoreQuery,28.0,9,2,78,44.0,2,88.0,13.0,5,2,172.0,165.0,34.4,56.0,49.0,11.2,116.0,116.0,23.2,70.1429,27.4377,0
lucene,org::apache::lucene::index::SortedTermVectorMapper,21.0,4,2,6,19.0,0,59.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,63.2857,0.0,0
lucene,org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer,4.0,3,4,1,5.0,0,10.0,2.0,2,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,43.7143,18.3571,0
lucene,org::apache::lucene::search::spans::SpanWeight,12.0,10,2,21,50.0,1,97.0,7.0,8,6,64.0,22.0,8.0,45.0,20.0,5.625,19.0,16.0,2.375,244.714,78.933,0
lucene,org::apache::lucene::search::FuzzyTermEnum,36.0,6,3,66,51.0,0,135.0,12.0,15,6,498.0,201.0,33.2,366.0,177.0,24.4,132.0,106.0,8.8,368.143,161.324,0
lucene,org::apache::lucene::search::function::ShortFieldSource,8.0,4,3,10,13.0,0,43.0,5.0,2,1,3.0,2.0,1.5,3.0,2.0,1.5,0.0,0.0,0.0,70.1429,18.0952,0
lucene,org::apache::lucene::search::payloads::BoostingTermQuery,5.0,4,4,3,6.0,0,13.0,3.0,10,3,56.0,43.0,5.6,51.0,26.0,5.1,5.0,31.0,0.5,80.0,9.34694,0
lucene,org::apache::lucene::search::highlight::TokenSources,5.0,2,1,1,7.0,0,21.0,2.0,5,5,70.0,43.0,14.0,18.0,8.0,3.6,52.0,36.0,10.4,190.0,146.902,0
lucene,org::apache::lucene::demo::html::ParserThread,2.0,6,1,1,11.0,0,23.0,2.0,4,4,31.0,13.0,7.75,68.0,51.0,17.0,-37.0,1.0,-9.25,349.571,143.184,0
lucene,org::tartarus::snowball::ext::EnglishStemmer,206.0,1,2,136,127.0,0,1131.0,17.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::index::TermVectorEntry,18.0,6,1,66,16.0,0,51.0,12.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,63.2857,0.0,0
lucene,org::apache::lucene::LucenePackage,2.0,1,1,1,3.0,0,4.0,2.0,3,3,7.0,6.0,2.33333,6.0,5.0,2.0,1.0,1.0,0.333333,186.571,74.3265,0
lucene,org::apache::lucene::index::FieldSortedTermVectorMapper,5.0,4,2,10,9.0,0,19.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,63.2857,0.0,0
lucene,org::apache::lucene::store::BufferedIndexInput,30.0,7,2,78,36.0,4,131.0,13.0,12,5,145.0,52.0,12.0833,52.0,13.0,4.33333,93.0,48.0,7.75,211.857,132.914,0
lucene,org::apache::lucene::index::FieldInfos,32.0,18,1,78,52.0,0,107.0,13.0,25,11,398.0,110.0,15.92,238.0,51.0,9.52,160.0,77.0,6.4,368.143,198.416,1
lucene,org::apache::lucene::index::TermInfosReader,39.0,8,1,105,55.0,0,154.0,15.0,26,9,334.0,89.0,12.8462,221.0,51.0,8.5,113.0,54.0,4.34615,368.143,251.482,1
lucene,org::apache::lucene::swing::models::RestaurantInfo,17.0,3,1,153,20.0,0,51.0,18.0,2,2,2.0,1.0,1.0,4.0,3.0,2.0,-2.0,0.0,-1.0,187.0,91.8571,0
lucene,org::apache::lucene::benchmark::byTask::tasks::TaskSequence,72.0,11,2,253,89.0,0,240.0,23.0,12,4,430.0,295.0,35.8333,348.0,295.0,29.0,82.0,25.0,6.83333,90.5714,18.2093,0
lucene,org::apache::lucene::index::FreqProxTermsWriterPerThread,5.0,2,2,10,6.0,0,13.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::index::DocInverter,9.0,4,2,21,33.0,0,53.0,7.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::util::SortedVIntList,10.0,4,2,15,13.0,0,62.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35.5714,0.0,0
lucene,org::apache::lucene::analysis::cn::ChineseAnalyzer,2.0,2,2,1,4.0,0,7.0,2.0,2,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,250.143,2.14286,0
lucene,org::apache::lucene::store::je::JEDirectory,21.0,8,2,91,64.0,0,102.0,14.0,4,4,9.0,6.0,2.25,9.0,5.0,2.25,0.0,1.0,0.0,143.857,52.7143,0
lucene,org::apache::lucene::search::highlight::GradientFormatter,23.0,5,1,21,46.0,1,132.0,7.0,4,2,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,196.714,0.75,0
lucene,org::apache::lucene::wordnet::Syns2Index,18.0,8,1,6,62.0,0,154.0,4.0,6,3,6.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,308.0,69.1667,0
lucene,org::apache::lucene::index::MergePolicy,1.0,1,1,15,7.0,1,3.0,6.0,8,1,72.0,19.0,9.0,24.0,13.0,3.0,48.0,18.0,6.0,55.1429,15.2698,0
lucene,org::apache::lucene::search::QueryUtils,25.0,26,1,28,56.0,0,167.0,8.0,11,5,352.0,128.0,32.0,192.0,128.0,17.4545,160.0,58.0,14.5455,151.143,74.1039,0
lucene,org::apache::lucene::index::memory::SynonymTokenFilter,14.0,3,3,6,17.0,0,56.0,4.0,5,4,128.0,100.0,25.6,125.0,100.0,25.0,3.0,3.0,0.6,148.571,46.856,0
lucene,org::apache::lucene::search::DisjunctionSumScorer,31.0,5,3,36,41.0,0,98.0,9.0,5,3,95.0,85.0,19.0,71.0,62.0,14.2,24.0,23.0,4.8,193.286,88.7594,0
lucene,org::apache::lucene::store::NativeFSLockFactory,14.0,8,2,10,28.0,0,53.0,5.0,9,2,213.0,119.0,23.6667,194.0,92.0,21.5556,19.0,27.0,2.11111,103.286,12.9215,0
lucene,org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory,16.0,8,1,55,39.0,0,50.0,11.0,3,2,7.0,6.0,2.33333,19.0,13.0,6.33333,-12.0,1.0,-4.0,170.143,60.2449,0
lucene,org::apache::lucene::search::spell::PlainTextDictionary,2.0,2,1,1,4.0,0,6.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,205.143,0.0,0
lucene,org::apache::lucene::store::BufferedIndexOutput,14.0,1,2,28,18.0,0,58.0,8.0,7,4,63.0,35.0,9.0,18.0,7.0,2.57143,45.0,33.0,6.42857,210.143,89.0612,0
lucene,org::apache::lucene::document::MapFieldSelector,4.0,2,2,1,5.0,0,9.0,2.0,5,3,18.0,15.0,3.6,9.0,5.0,1.8,9.0,10.0,1.8,121.571,47.5873,0
lucene,org::apache::lucene::search::MockFilter,3.0,3,2,6,6.0,0,10.0,4.0,3,2,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,200.429,44.8571,0
lucene,org::apache::lucene::store::instantiated::InstantiatedIndex,43.0,20,1,136,128.0,0,226.0,17.0,3,2,87.0,83.0,29.0,11.0,7.0,3.66667,76.0,76.0,25.3333,29.8571,15.4795,0
lucene,org::apache::lucene::index::FieldReaderException,1.0,0,1,0,1.0,0,3.0,1.0,4,3,97.0,79.0,24.25,88.0,79.0,22.0,9.0,7.0,2.25,121.571,84.5449,0
lucene,org::apache::lucene::store::LockFactory,2.0,6,1,6,4.0,6,6.0,4.0,6,2,32.0,11.0,5.33333,14.0,5.0,2.33333,18.0,9.0,3.0,110.143,26.9509,0
lucene,org::apache::lucene::benchmark::quality::trec::QueryDriver,1.0,8,1,0,18.0,0,35.0,1.0,2,2,3.0,2.0,1.5,2.0,1.0,1.0,1.0,1.0,0.5,51.0,7.42857,0
lucene,org::apache::lucene::index::TermsHashConsumerPerField,0.0,1,1,15,6.0,2,0.0,6.0,2,1,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,11.7143,1.28571,0
lucene,org::apache::lucene::xmlparser::builders::TermsQueryBuilder,4.0,11,1,1,22.0,0,37.0,2.0,4,3,21.0,16.0,5.25,12.0,6.0,3.0,9.0,12.0,2.25,119.143,44.5442,0
lucene,org::apache::lucene::search::spans::TermSpans,16.0,5,2,45,23.0,0,64.0,10.0,2,1,16.0,15.0,8.0,2.0,1.0,1.0,14.0,14.0,7.0,80.0,68.4375,0
lucene,org::apache::lucene::demo::html::TokenMgrError,17.0,5,1,6,26.0,0,57.0,4.0,3,2,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,264.857,159.143,0
lucene,org::apache::lucene::search::TopDocs,3.0,6,1,3,3.0,1,11.0,3.0,7,4,50.0,15.0,7.14286,67.0,51.0,9.57143,-17.0,13.0,-2.42857,368.143,151.086,0
lucene,org::apache::lucene::benchmark::quality::trec::TrecJudge,21.0,7,1,6,45.0,0,77.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62.7143,0.0,0
lucene,org::apache::lucene::demo::html::SimpleCharStream,47.0,6,1,190,38.0,0,256.0,20.0,4,4,65.0,46.0,16.25,27.0,18.0,6.75,38.0,38.0,9.5,264.857,227.662,0
lucene,org::apache::lucene::index::TermsHashConsumerPerThread,0.0,2,1,6,4.0,2,0.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::index::FormatPostingsPositionsConsumer,0.0,2,1,1,2.0,1,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lucene,org::apache::lucene::queryParser::surround::parser::QueryParser,174.0,20,1,903,221.0,0,583.0,43.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,170.143,0.0,0
lucene,org::apache::lucene::store::instantiated::InstantiatedTermPositions,9.0,4,2,21,15.0,0,35.0,7.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29.8571,0.0,0
lucene,org::apache::lucene::analysis::el::GreekCharsets,79.0,2,1,0,2.0,0,225.0,1.0,2,2,1.0,1.0,0.5,2.0,1.0,1.0,-1.0,0.0,-0.5,180.286,0.0,0
lucene,org::apache::lucene::benchmark::stats::QueryData,10.0,4,1,6,10.0,0,26.0,4.0,3,2,1.0,1.0,0.333333,2.0,1.0,0.666667,-1.0,0.0,-0.333333,99.0,0.0,0
lucene,org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker,9.0,8,2,0,24.0,0,49.0,1.0,2,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,81.0,9.0,0
lucene,org::tartarus::snowball::ext::FinnishStemmer,140.0,1,2,78,85.0,0,877.0,13.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::search::highlight::SpanScorer,19.0,7,1,45,29.0,0,77.0,10.0,3,3,7.0,5.0,2.33333,7.0,5.0,2.33333,0.0,0.0,0.0,23.1429,15.8775,0
lucene,org::apache::lucene::search::regex::RegexQuery,10.0,6,3,15,17.0,0,27.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,151.571,0.0,0
lucene,org::apache::lucene::document::Field,17.0,14,3,15,13.0,0,49.0,6.0,46,10,991.0,136.0,21.5435,684.0,199.0,14.8696,307.0,133.0,6.67391,368.143,189.416,1
lucene,org::tartarus::snowball::ext::TurkishStemmer,479.0,1,2,861,312.0,0,2864.0,42.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.57143,0.0,0
lucene,org::apache::lucene::analysis::WhitespaceTokenizer,2.0,19,4,1,3.0,0,6.0,2.0,5,2,22.0,13.0,4.4,59.0,51.0,11.8,-37.0,1.0,-7.4,349.857,135.565,0
lucene,org::apache::lucene::demo::DeleteFiles,3.0,4,1,1,14.0,0,32.0,2.0,7,5,46.0,18.0,6.57143,69.0,51.0,9.85714,-23.0,9.0,-3.28571,349.571,154.186,0
lucene,org::apache::lucene::xmlparser::builders::FuzzyLikeThisQueryBuilder,3.0,6,1,1,16.0,0,22.0,2.0,2,1,17.0,16.0,8.5,2.0,1.0,1.0,15.0,15.0,7.5,136.571,45.042,0
lucene,org::apache::lucene::index::InvertedDocConsumerPerField,0.0,1,1,6,4.0,1,0.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::index::SegmentMergeInfo,12.0,6,1,10,14.0,0,44.0,5.0,6,4,48.0,17.0,8.0,73.0,51.0,12.1667,-25.0,14.0,-4.16667,368.143,170.17,0
lucene,org::apache::lucene::search::FuzzyLikeThisQuery,24.0,18,2,15,68.0,0,141.0,6.0,8,4,98.0,52.0,12.25,78.0,47.0,9.75,20.0,17.0,2.5,136.571,56.8426,0
lucene,org::apache::lucene::index::FieldInvertState,7.0,4,1,21,7.0,0,29.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
lucene,org::apache::lucene::index::DocFieldConsumersPerThread,7.0,3,2,10,12.0,0,37.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.7143,0.0,0
lucene,org::apache::lucene::store::GCJIndexInput,5.0,2,2,55,14.0,0,14.0,11.0,4,3,9.0,6.0,2.25,9.0,5.0,2.25,0.0,1.0,0.0,211.286,74.3492,0
lucene,org::apache::lucene::store::MMapDirectory,2.0,0,3,1,3.0,0,5.0,2.0,8,5,159.0,128.0,19.875,44.0,16.0,5.5,115.0,116.0,14.375,210.143,10.2749,1
lucene,org::apache::lucene::store::instantiated::InstantiatedTermEnum,12.0,3,2,15,23.0,0,51.0,6.0,2,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,29.8571,7.64286,1
lucene,org::apache::lucene::wordnet::SynExpand,12.0,9,1,1,38.0,0,70.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,195.143,0.0,0
lucene,org::apache::lucene::xmlparser::builders::MatchAllDocsQueryBuilder,1.0,2,1,1,3.0,0,3.0,2.0,2,1,17.0,16.0,8.5,2.0,1.0,1.0,15.0,15.0,7.5,132.286,41.0084,0
lucene,org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder,15.0,9,1,10,33.0,0,64.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62.7143,0.0,0
lucene,org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask,17.0,10,2,21,41.0,0,73.0,7.0,2,1,4.0,3.0,2.0,3.0,2.0,1.5,1.0,1.0,0.5,63.0,1.60714,0
lucene,org::apache::lucene::store::LockObtainFailedException,1.0,3,1,0,1.0,0,3.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,85.0,0.0,0
lucene,org::apache::lucene::search::WildcardQuery,7.0,10,3,6,12.0,0,19.0,4.0,9,6,56.0,13.0,6.22222,73.0,51.0,8.11111,-17.0,11.0,-1.88889,368.143,172.074,0
lucene,org::apache::lucene::search::TimeLimitedCollector,8.0,5,2,15,12.0,0,30.0,6.0,2,1,40.0,39.0,20.0,2.0,1.0,1.0,38.0,38.0,19.0,34.1429,4.875,1
lucene,org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker,7.0,6,2,3,35.0,0,48.0,3.0,5,4,121.0,107.0,24.2,164.0,107.0,32.8,-43.0,0.0,-8.6,90.5714,11.3022,0
lucene,org::apache::lucene::xmlparser::builders::TermsFilterBuilder,4.0,8,1,1,15.0,0,32.0,2.0,7,4,50.0,23.0,7.14286,48.0,27.0,6.85714,2.0,15.0,0.285714,136.571,30.3743,0
lucene,org::apache::lucene::analysis::ar::ArabicNormalizer,18.0,2,1,3,5.0,0,27.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
